antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedentes,consecuentes
"frozenset({'GDP_Medio', 'Mort_Baja', 'Gini_Bajo'})",frozenset({'Pob_Baja'}),0.07364975450081833,0.546644844517185,0.06819421713038734,0.925925925925926,1.6938345531159904,1.0,0.02793395853255866,6.120294599018012,0.442190812720848,0.1235177865612648,0.8366091723492448,0.5253382124639611,"GDP_Medio, Mort_Baja, Gini_Bajo",Pob_Baja
"frozenset({'Mort_Media', 'Pob_Media'})",frozenset({'GDP_Medio'}),0.18494271685761046,0.46481178396072015,0.14457174031642117,0.7817109144542773,1.68177946736466,1.0,0.0586081861632929,2.4517406113150795,0.4973781920133364,0.2861771058315335,0.5921265098824571,0.5463718891520213,"Mort_Media, Pob_Media",GDP_Medio
"frozenset({'GDP_Alto', 'Mort_Baja', 'Pob_Baja'})",frozenset({'Gini_Bajo'}),0.3567921440261866,0.37970540098199673,0.22422258592471359,0.6284403669724771,1.6550735526732048,1.0,0.08874668181002407,1.6694348467398115,0.6153488976802064,0.4376996805111821,0.4009948924015395,0.6094788041758937,"GDP_Alto, Mort_Baja, Pob_Baja",Gini_Bajo
"frozenset({'GDP_Alto', 'Pob_Baja'})",frozenset({'Gini_Bajo'}),0.3567921440261866,0.37970540098199673,0.22422258592471359,0.6284403669724771,1.6550735526732048,1.0,0.08874668181002407,1.6694348467398115,0.6153488976802064,0.4376996805111821,0.4009948924015395,0.6094788041758937,"GDP_Alto, Pob_Baja",Gini_Bajo
"frozenset({'GDP_Alto', 'Mort_Baja'})",frozenset({'Gini_Bajo'}),0.358974358974359,0.37970540098199673,0.22422258592471359,0.6246200607902737,1.6450123152709362,1.0,0.08791808300809936,1.6524447212706328,0.6116788321167883,0.43584305408271473,0.39483603467772344,0.607568651084792,"GDP_Alto, Mort_Baja",Gini_Bajo
"frozenset({'GDP_Alto', 'Gini_Medio', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.1282051282051282,0.6082924168030551,0.1282051282051282,1.0,1.643946188340807,1.0,0.050218920922685234,inf,0.44931163954943676,0.210762331838565,1.0,0.6053811659192825,"GDP_Alto, Gini_Medio, Pob_Baja",Mort_Baja
"frozenset({'GDP_Alto', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.3567921440261866,0.6082924168030551,0.3567921440261866,1.0,1.643946188340807,1.0,0.1397581884401538,inf,0.6089906700593721,0.5865470852017935,1.0,0.7932735426008969,"GDP_Alto, Pob_Baja",Mort_Baja
"frozenset({'GDP_Alto', 'Gini_Bajo'})",frozenset({'Mort_Baja'}),0.22422258592471359,0.6082924168030551,0.22422258592471359,1.0,1.643946188340807,1.0,0.08782968723073886,inf,0.5049226441631505,0.368609865470852,1.0,0.684304932735426,"GDP_Alto, Gini_Bajo",Mort_Baja
"frozenset({'GDP_Alto', 'Gini_Bajo', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.22422258592471359,0.6082924168030551,0.22422258592471359,1.0,1.643946188340807,1.0,0.08782968723073886,inf,0.5049226441631505,0.368609865470852,1.0,0.684304932735426,"GDP_Alto, Gini_Bajo, Pob_Baja",Mort_Baja
frozenset({'GDP_Alto'}),frozenset({'Gini_Bajo'}),0.3606110201854883,0.37970540098199673,0.22422258592471359,0.62178517397882,1.6375462987114613,1.0,0.08729663390665585,1.640058919803601,0.6089098428041155,0.43446088794925997,0.3902658081822138,0.6061512076790652,GDP_Alto,Gini_Bajo
frozenset({'GDP_Alto'}),frozenset({'Mort_Baja'}),0.3606110201854883,0.6082924168030551,0.358974358974359,0.9954614220877458,1.636485010481469,1.0,0.139617409979913,86.30623749772602,0.6082904550971503,0.5885509838998211,0.9884133519315293,0.7927979756178639,GDP_Alto,Mort_Baja
"frozenset({'GDP_Alto', 'Gini_Medio'})",frozenset({'Mort_Baja'}),0.1320240043644299,0.6082924168030551,0.1303873431533006,0.9876033057851239,1.623566690138235,1.0,0.05007814246244445,31.597745044553374,0.44249163048423534,0.2137745974955277,0.9683521720113261,0.6009765407849387,"GDP_Alto, Gini_Medio",Mort_Baja
"frozenset({'Pob_Media', 'Mort_Baja'})",frozenset({'Gini_Medio'}),0.10310965630114566,0.3955264593562466,0.06437534097108565,0.6243386243386242,1.5785002736726872,1.0,0.023592743688854,1.6090915377699908,0.4086199430904367,0.14824120603015076,0.3785313162569478,0.3935486225141397,"Pob_Media, Mort_Baja",Gini_Medio
"frozenset({'Pob_Media', 'GDP_Medio', 'Mort_Baja'})",frozenset({'Gini_Medio'}),0.09765411893071467,0.3955264593562466,0.060556464811783964,0.6201117318435755,1.567813523405895,1.0,0.02193167690956458,1.5911877025769392,0.401363878993867,0.13997477931904162,0.37153863219248545,0.3866075900597188,"Pob_Media, GDP_Medio, Mort_Baja",Gini_Medio
frozenset({'Gini_Alto'}),frozenset({'GDP_Medio'}),0.22476813966175668,0.46481178396072015,0.16312056737588654,0.7257281553398058,1.561337686312047,1.0,0.058645687402173116,1.9513057080370202,0.46376262418241426,0.30984455958549223,0.487522638876518,0.538333561237978,Gini_Alto,GDP_Medio
frozenset({'Mort_Media'}),frozenset({'GDP_Medio'}),0.2825968357883252,0.46481178396072015,0.20349154391707583,0.72007722007722,1.5491802164337374,1.0,0.07213720453264971,1.9119137648851505,0.49413959367577637,0.3741223671013039,0.4769638576978025,0.5789353236536334,Mort_Media,GDP_Medio
frozenset({'Gini_Bajo'}),"frozenset({'Mort_Baja', 'Pob_Baja'})",0.37970540098199673,0.502454991816694,0.2935079105291871,0.7729885057471264,1.5384233778876033,1.0,0.10272303638602345,2.191717251237854,0.5642220282292473,0.49860982391102865,0.5437367664851784,0.6785680856640084,Gini_Bajo,"Mort_Baja, Pob_Baja"
"frozenset({'Gini_Bajo', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.31369339879978175,0.6082924168030551,0.2935079105291871,0.9356521739130436,1.5381618249171378,1.0,0.10269059483810328,6.087347576709286,0.5097916087966383,0.4670138888888889,0.8357248395300959,0.7090816923376877,"Gini_Bajo, Pob_Baja",Mort_Baja
frozenset({'Gini_Bajo'}),frozenset({'Pob_Baja'}),0.37970540098199673,0.546644844517185,0.31369339879978175,0.8261494252873562,1.5113092779957324,1.0,0.10612939891764278,2.6077288282317284,0.5454215899965583,0.5120213713268031,0.6165245445869121,0.7000008603482689,Gini_Bajo,Pob_Baja
frozenset({'Mort_Baja'}),frozenset({'Pob_Baja'}),0.6082924168030551,0.546644844517185,0.502454991816694,0.8260089686098654,1.5110523347922986,1.0,0.16993507821240522,2.6056237029038067,0.8634235525754674,0.7700668896321071,0.616214728594324,0.872585322628286,Mort_Baja,Pob_Baja
frozenset({'Pob_Baja'}),frozenset({'Mort_Baja'}),0.546644844517185,0.6082924168030551,0.502454991816694,0.9191616766467066,1.5110523347922986,1.0,0.16993507821240522,4.845567881028872,0.7460145737053979,0.7700668896321071,0.7936258402415225,0.872585322628286,Pob_Baja,Mort_Baja
"frozenset({'Gini_Medio', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.20458265139116202,0.6082924168030551,0.18603382433169668,0.9093333333333334,1.494895067264574,1.0,0.061587748880989834,4.320304226436897,0.41620506136635177,0.2967798085291558,0.7685348189415044,0.6075814648729447,"Gini_Medio, Pob_Baja",Mort_Baja
"frozenset({'GDP_Medio', 'Gini_Bajo'})",frozenset({'Pob_Baja'}),0.10965630114566285,0.546644844517185,0.0856519367157665,0.781094527363184,1.4288884916733693,1.0,0.02570888502566602,2.0710087784555857,0.33712298613712993,0.15009560229445507,0.5171435242559761,0.4688905770548455,"GDP_Medio, Gini_Bajo",Pob_Baja
"frozenset({'Mort_Media', 'Gini_Medio'})",frozenset({'GDP_Medio'}),0.10092744135297327,0.46481178396072015,0.06655755591925805,0.6594594594594595,1.4187666539779216,1.0,0.01964529185339159,1.5715844439248694,0.32829659398376576,0.13333333333333333,0.36369947929580965,0.4013259738611852,"Mort_Media, Gini_Medio",GDP_Medio
"frozenset({'Mort_Baja', 'Gini_Medio'})",frozenset({'Pob_Baja'}),0.25150027277686854,0.546644844517185,0.18603382433169668,0.7396963123644251,1.3531570265109691,1.0,0.04855249682355578,1.741639388979814,0.34868077939177344,0.303921568627451,0.42582832799517595,0.5400078368209351,"Mort_Baja, Gini_Medio",Pob_Baja
"frozenset({'GDP_Medio', 'Gini_Medio', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.07255864702673213,0.6082924168030551,0.05782869612656847,0.7969924812030076,1.3102127516099666,1.0,0.013691821366717767,1.929522539451618,0.25528856825749163,0.09281961471103328,0.48173707248622966,0.4460298728884993,"GDP_Medio, Gini_Medio, Pob_Baja",Mort_Baja
"frozenset({'GDP_Medio', 'Gini_Bajo', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.0856519367157665,0.6082924168030551,0.06819421713038734,0.7961783439490446,1.308874353774528,1.0,0.016092793541691408,1.9218153300600112,0.25809069212410507,0.10897994768962509,0.4796586413072407,0.45414298363371514,"GDP_Medio, Gini_Bajo, Pob_Baja",Mort_Baja
"frozenset({'GDP_Medio', 'Pob_Baja'})",frozenset({'Mort_Baja'}),0.18221494817239497,0.6082924168030551,0.14457174031642117,0.7934131736526946,1.3043285626057302,1.0,0.033731769114991594,1.8960917795330374,0.28530970332422867,0.22381756756756754,0.47259936950611303,0.5155406675438361,"GDP_Medio, Pob_Baja",Mort_Baja
frozenset({'Gini_Bajo'}),frozenset({'Mort_Baja'}),0.37970540098199673,0.6082924168030551,0.3011456628477905,0.793103448275862,1.3038193907530538,1.0,0.07017374681127855,1.8932533187852327,0.37566441053879374,0.438443208895949,0.4718086639131685,0.6440853564249265,Gini_Bajo,Mort_Baja
"frozenset({'GDP_Medio', 'Gini_Bajo'})","frozenset({'Mort_Baja', 'Pob_Baja'})",0.10965630114566285,0.502454991816694,0.06819421713038734,0.6218905472636815,1.2377039882023109,1.0,0.013096861235594386,1.315875613747954,0.2157058823529411,0.12537612838515547,0.24004975124378097,0.37880629426159107,"GDP_Medio, Gini_Bajo","Mort_Baja, Pob_Baja"
"frozenset({'GDP_Medio', 'Gini_Bajo'})",frozenset({'Mort_Baja'}),0.10965630114566285,0.6082924168030551,0.07364975450081833,0.6716417910447761,1.1041429623184524,1.0,0.006946658059239455,1.1929276397361501,0.10593681917211326,0.1143099068585944,0.1617261880014965,0.3963590121143163,"GDP_Medio, Gini_Bajo",Mort_Baja
